mip_lower,n
covid crises,1
covid crisis not being dealt with to well,1
covid debt,1
covid economic recovery,1
covid economic recovery (jobs),1
covid economy,1
covid environnement,1
covid environnement relance économique,1
covid et environnement,1
covid et les finances et un leadership plus fort,1
covid et relance économique,1
covid et soin de santé,1
covid financial recovery,1
covid freedoms,1
covid gestion,1
covid handling,1
covid health and safety,1
covid help and covid mandates,1
covid individual financial support,1
covid is controlled and stabilizing the economy,1
covid is the main corcetb,1
covid leadership,1
covid lockdowns & segregation of vaxxed/unvaxxed,1
covid management & recovery,1
covid management and getting back on track,1
covid measures and control,1
"covid measures, social welfare",1
covid mitigation,1
covid must be dealt with in a serious and professional manner,1
covid open borders,1
covid pandemic and how to try to end it.,1
covid pandemic benefits and jobs,1
covid pandemic management,1
covid pandemic response,1
covid passport requirements,1
covid plan,1
"covid plan to lead to better health for all, economy and get back to business of running government of canada",1
covid plans,1
covid problem,1
covid procedures and the economy,1
covid protection,1
"covid protection measures, mental health funding",1
covid recovery and healthcare,1
covid recovery and inflation,1
covid recovery and rebuilding the economy,1
covid recovery plan.,1
covid recovery/the economy,1
covid reduction / care,1
"covid relief for handicaps, seniors",1
covid resolutions,1
covid responce,1
covid response & government debt,1
covid response and costs to fight this,1
covid response and racism,1
covid response and recovery,1
covid response and taking all steps necessary to get this behind us,1
covid restrictions and country's debt/spending,1
covid restrictions and laws,1
covid restrictions and mandates,1
covid restrictions and passports,1
covid restrictions and passports and vaccinations being mandated and such mandates being enforced at all times!,1
covid restrictions too severe,1
covid restrictions; taxes,1
covid rexovery,1
covid rules,1
covid rules and proper first nation funding,1
"covid rules, post secondary loans",1
covid safety and economic stability,1
covid safety and recovery,1
covid safety for us,1
covid safety response,1
covid shots,1
covid shutdowns and vaccine passports,1
covid sucks and they’re doing way too much bs,1
covid support for the unemployed,1
covid supports and vaccinations,1
covid to be over,1
covid transmission,1
covid vaccine hesitancy,1
covid vaccine mandate,1
covid vaccine passports,1
covid vaccines and passe ports,1
covid vaccines not being forced,1
covid vaxine requirements,1
covid virus,1
covid' impact on the economy,1
"covid, climate change",1
"covid, climate change and seniors health care",1
"covid, climate change, taxes, housing, immigration",1
"covid, environment, handling of economic recovery of covid",1
"covid, gun control, taxation",1
"covid, housing",1
"covid, housing & financial support of our seniors",1
"covid, housing and racism",1
"covid, human rights",1
"covid, it’s effects on the economy and the 4th wave of the pandemic which is about to explode",1
"covid, medical & mental healthcare, ethics & accountability",1
"covid, mesures  sanitaires",1
"covid, santé",1
"covid, taxes. seniors",1
"covid, they try to kill us with the bioweapon.",1
"covid, économie et environnement",1
covid-19 & how the healthcare system what shut down/mishandled,1
covid-19 & the economy,1
covid-19 action plan,1
covid-19 and post-pandemic recovery,1
covid-19 and recovery,1
covid-19 and recovery from or living with it,1
covid-19 and the economy,1
covid-19 and the effects on our economy,1
covid-19 and unemployment,1
covid-19 containment,1
covid-19 control,1
covid-19 control and recovery,1
covid-19 economic recovery,1
covid-19 et environnement,1
covid-19 et immigration,1
covid-19 et les loyer,1
covid-19 et l’économie du pays ainsi que l’environnement,1
covid-19 et réseau de la santé,1
covid-19 health and safety,1
"covid-19 issues - vaccine rollout, vaccine production, booster shot, vaccine passport",1
covid-19 management,1
covid-19 measures & support,1
covid-19 pandemic / vaccine mandates,1
covid-19 pandemic response,1
covid-19 rates of vacccinations,1
covid-19 relief support,1
covid-19 response and recovery,1
covid-19 safety for electors,1
covid-19 safety measures,1
"covid-19 support and dealing with how businesses, economy and people are getting support to survive it",1
covid-19 vaccination,1
"covid-19, environnement, une société juste",1
"covid-19, seniors",1
"covid-19.  this has caused numerous issues, ie delays in the supply chains, mandating vaccination passports.  everyone should be vaccinated in order to keep all safe and healthy",1
covid. getting past this.,1
covid....forced to be vaccinated if not you cannot do anything......total loss of freedom. not very democratic,1
covid./ crime,1
covid/19/// election called @ good timing for who ? ? ?,1
covid/health issues,1
covid/healthcare,1
"covid/vaccine mandates, passports",1
covid/vaccines,1
covid19 control;,1
covid19 et économie,1
covid19 pandemic,1
covid19 recovery,1
covid19 to get it to zero cases,1
covid19 variants,1
"covid19, accommodation crisis, health crisis",1
"covid19, économie, santé",1
covoid,1
coûts,1
coûts en période de pandémie,1
cpe,1
cpe et ainé,1
cpp increase to a livable amount,1
cpp pension reform,1
crazy old man as president,1
creating jobs for canadians,1
creating jobs/economy,1
creating more jobs and improving economy,1
credibility,1
crime & immigration,1
crime - against people of different faiths and crime in general,1
crime and climate change,1
crime and cost of living,1
crime and covid,1
crime and drug use,1
crime and how they plan to knock it down,1
crime and poverty,1
crime and punishment,1
crime and racism,1
crime and safety,1
crime in my neighbourhood,1
crime rate,1
crime reduction,1
crime/drugs,1
crimes in community,1
criminal code,1
criminalite,1
criminals in office,1
crise covid,1
"crise du logement, pénurie de garderie, salaire trop bas pour le coût de la vie",1
crise sanitaire et avenir du système de santé,1
criticisms,1
crooked mps,1
création d'emplois,1
crédibilité,1
crédibilité du gvt libéral,1
cul,1
cultural diversity and immigration,1
cultural soverignty/gov't support for the art industries,1
culture,1
curing the epidemic,1
current democracy,1
current policies of coerced vaccines & so called vaccine passport. signals loss of freedoms & rights. government overreach.,1
curtailing government spending,1
"cut down the taxes, climate change, create more jobs",1
cut spending,1
cut taxes and help the middle class!!! and most importantly affordable housing,1
cut to social services,1
cuts to healthcare,1
cutting cerb and getting workers working again,1
cvid resolution,1
c’est du gaspillage de temps et d’argent. de l’opportunisme…,1
c’est une élection inutile en ce temps de pandémie,1
"d'après moi, il n'y en a pas.",1
d'arreter de penser jusye a soit mene et penser au autre,1
d'avoir un bon gouvernement,1
d'avoir un gouvernement majoritaire,1
d'avoir une personne qui travaille pour les quebecois,1
d'empêcher le gouvernement fédéral (et les partis fédéraux) d'empiéter sur les compétences du québec,1
d/k,1
day care,1
"day care, affordable housing",1
daycare access,1
daycare and housing,1
daycare issue,1
daycare price,1
daycares,1
de detroner justin trudeau,1
"de moins donné de l'argent à la population, le déficit est trop élever.",1
"de ne plus faire des elections avant les 4ans.  ridicule,  on paie des millions pour rien",1
de nouveau programme,1
de servir le peuple,1
dead children being found at residential schools,1
dealing sensibly with the covid crisis,1
dealing with a lot of things too many to put down,1
dealing with china,1
dealing with china in a forceful manner,1
dealing with climate change,1
dealing with climate change!,1
dealing with covid 19,1
dealing with covid and recovery,1
dealing with daily cost of living and affordability issues,1
dealing with homelessness in canada,1
dealing with mental health,1
dealing with mental issues,1
dealing with our own canadian ppl and not giving aal our $$$ to support influx of immigrants to support their needs,1
dealing with overcoming the current global pandemic,1
dealing with pandemic and post pandemic issues,1
dealing with recovery from covid 19,1
dealing with the economy and the debt,1
dealing with the long term covid 19,1
dealing with the pandemic (covid),1
dealing with the pandemic and the naysayers,1
dealing with the plague specifically and healthcare in general.,1
debarquer le clow qui est en poste,1
debt and budget,1
debt and deficit,1
debt and deficits,1
debt and high cost of living,1
debt and spending,1
debt economy,1
debt forgiveness,1
debt from federal government,1
debt levels,1
debt of canada,1
debt of the country,1
debt on all levels from personal to federal,1
debt recovery,1
debt repayment,1
"debt, cost of living, and education",1
"debt, deficit, inflation, jobs, economy",1
debt/deficit,1
decency and common sense,1
decent wages for working and middle class individuals,1
decently paid employment,1
decentralisation,1
decentralization of federalism,1
declaring quebec as a distinct society,1
"decrease in taxes, ,making canada more affordable to live in, affordable housing market",1
decreasing the gap between the fortunate and less fortunate citizens.,1
defacid,1
defeat of the liberal party,1
defeat the liberals,1
defeating covid,1
"defeating the climate ""emergency"" narrative",1
defeating the conservatives,1
defeating the current pm,1
defeating the trudeau liberal government,1
defeating trudeau.,1
defecit,1
defence,1
defense,1
deficet,1
deficiet,1
deficiit,1
deficit & debt,1
deficit & national debt,1
deficit & spending,1
deficit an debt,1
deficit and budget,1
deficit and carbon taxes,1
deficit and deterioration of canadian values and freedoms,1
deficit and national debt,1
deficit and recovery,1
deficit control,1
deficit out of control,1
deficit reduction,1
deficit/debt,1
deficits and debt and economy,1
defict,1
defisite,1
deforestation,1
defunding tmx and converting money to re-training workers in the fossil fuel industries.,1
delta,1
demandes du québec,1
demo0cr5atic system,1
democercy,1
democracy and transparency,1
"democracy has become ""damn u cracy""",1
democratic reform,1
democratie,1
demographie . economy,1
dental and fully covered prescriptions,1
dental and vision care for all people in canada.,1
"dental care for sr, and sr health practices",1
dental coverage,1
depenses,1
depenses federal,1
deprivatizing nursing homes,1
des logements abordables pour les aînés!,1
des meilleurs innovations niveau immigration,1
des élections n'étaient pas nécessaire ni souhaitée,1
dette dunqiebec,1
dette federale/controle des depenses,1
dette nationale,1
dette publique fédérale et respect des compétences provinciales,1
dette-déficit-taxe,1
development of new industry in alberta to replace declining oil industry,1
"development of our oil and mineral  resources, reduction of equalization payments to quebec",1
devenir majoritaire,1
devenir majoritaire au parlement,1
dictature sanitaire,1
dire la vérité et non juste des fausses promesses,1
"dire need to innovate green technology: carbon capture, hydro and wind power, mining for battery minerals",1
disabilities act for children,1
disability and healthcare,1
disability benifits,1
disability payments,1
disability pension,1
disability rights,1
disability support,1
disabled benefits,1
disabled individuals deserve to not live in poverty.,1
disabled people,1
disclose the covid 19 hoax,1
discrimination against indigenous people,1
discrimination and the indigenous community,1
"discrimination based on race, religion & income.",1
dishonest politicians and their coverups,1
dishonesty in gov't,1
"dishonsesty, corruption, lack of ethics, deficits.",1
"dislike imensly the prospect of manditory innoculations with the presently pushed ""vaccinations"". (lethal injections)",1
disparity or the regions in canada as it relates to the representation of the electorate.,1
disposable income,1
"dissemination of covid-19 human rights breaking laws of wearing face masks and being told to ""stay home"", while having curfews.",1
distribution of wealth,1
ditch trudeau,1
diversify the econony,1
diversity and inclusion,1
diversity and inclusivity,1
diversity of candidates,1
divisé encore plus les canadiens,1
djdjdjdbenebe ebejbdbdjd jdbdbd,1
dnk,1
do not force people to take an experimental vaccine or else loose their job we do not live in a communist country,1
do not like that federal votes go by first past post and not actual percentages so new parties like the green do not get fair representation. we end up voting for a party we don't really like to keep a worse party from winning,1
do not vote for pm,1
"do not waste anymore money on crb, people just don't look for job but take this benefit",1
do we even need an election,1
doctor shortage,1
does it really matter? they will do what they want anyway. our opinions don’t matter.,1
doesn't matter they all lie,1
doing better for the seniors,1
doing our best to get rid of covid & it's variants so we can go back to a more normal life.,1
"doing what is best for the whole, not just  for a specific sector",1
doing what the people want,1
don't  know,1
don't know who to vote for ... don't trust the current political leaders!!!!!,1
donner au québec ce qui lui revient en tant que droits et budget,1
dont have an opinion,1
dont know.getting liberals out but not letting conservatives in,1
"dont see the point, pretty sure we will be ending up with same situation.",1
don’t have a right to vote,1
don’t have one,1
don’t knoe,1
doug ford isn’t my favorite,1
draconian orders in council such as the instant criminalization of law abiding gun owners.,1
droit et libertés,1
droit garderie,1
droits autochtones,1
droits de la femme,1
"droits de la femme, l’environnement, protection de la langue française",1
"droits et liberté,  environnement, santé sociale, éducation, meilleures conditions de travail et salaire pour les travailleurs essentiels",1
droits et libertés; liberté d'expression et libertés liées à la santé,1
droits fondamentaux et transparence,1
droits humains,1
drug,1
drug addiction,1
drug overdoses,1
drug plan,1
drug prescriptions for everybody in canada,1
drug use,1
drugs,1
dssgdsdhsdg,1
du soutien,1
dualité linguistique,1
dump trudeau,1
"during this time i would say, reaching out and getting everyone double vaccinated. not one canadian should ignore this situation and not get vaccinated we need the government to assist.",1
dysfunctional government,1
débarasser les liberaux du pouvoir,1
débarquer justin,1
débarquer trudeau,1
débarrassé des libéraux,1
défaire le plc,1
défaite des libéraux,1
défendre l'autonomie du québec,1
défendre la nation québécoise,1
"défendre le québec contre les francophobes, les suprémacistes et le totalitarisme anglo multiculturaliste qui menace une nation, sa démocratie et son état de droit.",1
défendre les droits de notre province,1
défendre les intérêts du québec au parlement fédéral,1
défense des intérêts du québec,1
"défense des intérêts du québec (environnement, santé, etc.)",1
déficit budgétaire,1
déficit national,1
déficit énorme,1
"déficit, environment",1
déficite,1
déficite financier,1
déficits,1
déloger justin trudeau,1
déloger le présent gouvernement libéral,1
démocratie,1
démontrer que cette élection n'était pas nécessaire en élisant à nouveau un gouvernement minoritaire,1
dépense publique en temps de covid,1
"dépenser largent qu,on a pas ,dépenses,voyage,pancartes",1
dépenses,1
dépenses reliées à la covid,1
développement,1
d’avoir un candidat ou une candidate avec une véritable connaissance des enjeux politiques et avoir de la fermeté pour pouvoir remettre le canada de nouveaux sur la voie a.  l’échelle  nationale et international,1
early childhood education,1
early learning and child care,1
eastern control of western canada,1
easy to vote,1
echo systeme,1
ecnomic,1
eco,1
eco no my,1
ecomey,1
ecomomie,1
ecomomy,1
ecomomy for middleclass people,1
ecomomy growth,1
ecomony and jobs,1
econ,1
econmic inequality,1
econmic recover,1
econmic recovery post covid,1
econmony and affordable housing,1
econmy,1
economi,1
economic & pandemic recovery,1
"economic approach/relief for middle class, particularly after covid",1
economic bounce back after covid,1
economic disparity in canada,1
economic growth and substantial development,1
economic growth going forward,1
economic imbalance and climate change,1
economic includes baiancing budget paying off debt,1
economic justice,1
economic policy,1
"economic problems, too much immigracion",1
economic recouvery,1
economic recover,1
economic recovery after / during covid,1
economic recovery after covid,1
"economic recovery and anything that would help my financial situation - combatting inflation, tax credits",1
economic recovery and future path,1
economic recovery and jobs,1
economic recovery and stabilization post pandemic,1
economic recovery during the pandemic,1
economic recovery especially travel industry,1
economic recovery from covid 19,1
economic recovery from covid-19 pandemic.,1
economic recovery from pandemic creating jobs,1
economic recovery of oil and gas,1
economic recovery plan.,1
economic recovery post covid and the reduction/elimination of covid related government payouts/support.,1
economic recovery post pandemic,1
economic recovery so ambitious social plans can be implemented.,1
economic recovery through natural resource marketing,1
"economic recovery, employment specifically",1
"economic recovery, taxes",1
economic recovery; getting the budget back to balanced,1
economic restoration,1
economic stability and growth,1
"economic stability and growth, with the climate change and is impending repecutions in mind.",1
economic stability and recovery and debt,1
economic stability for the widest range of people,1
economic stability of canada / paying off debt asap,1
economic strength following pandemic for citizens and government,1
economic support in the times of coronavirus,1
economic wellbeing,1
economic/deficit,1
"economical aspects (jobs, budgets, taxes, affordability of housing, inflation…)",1
economical recovery,1
economics and health,1
economics and job creation,1
economics and taxes,1
economics of canada,1
economics—everything from personal taxation to inflation to trade policies,1
economie et autonomie de la province,1
economie et corruption,1
economie et la dette,1
economie et pandemie,1
economie et penurie main d'oeuvre,1
economie et sante,1
economie les produits qu'on achète ne cesse d'augmenter ça na aucun sens,1
economie reprise,1
economie sociale,1
economy      and getting rid of law breaking trudeau,1
economy  and covid,1
economy & housing costs,1
economy & how to get debt under control,1
economy & pandemic,1
economy - covid recovery,1
economy - debt,1
economy - helping poverty and housing issue,1
economy - including getting pipeline and border open to get it going,1
economy - quality of life for seniors,1
economy / balanced budget,1
economy / debt,1
economy / taxes,1
economy /debt,1
economy after covid,1
economy after covid-19 pandemic,1
economy and all aspects of it,1
economy and balancing the budget,1
economy and covid.,1
economy and debit,1
economy and deficits,1
economy and employment,1
economy and environment,1
economy and federal debt,1
economy and firearms,1
economy and future of canada,1
economy and government accountability,1
economy and government budgeting,1
economy and health,1
economy and health care,1
economy and housing,1
economy and how to balance the national deficits,1
economy and job creation,1
economy and job markwt6,1
economy and jobs for students,1
economy and our debt,1
economy and pandemic,1
economy and rising levels of covid across the country,1
economy and standard of living and housing,1
economy and taxes.,1
economy and the debt,1
economy and unemployment,1
economy and when leaders aren't performing or in violation of ethics they can be fired,1
economy and who pays for all the spending? rich getting richer others getting left behind,1
economy comeback,1
economy covid,1
economy debt,1
economy development,1
economy during covid,1
economy growth,1
economy in the future,1
economy is high,1
economy jobs cost of living all goes together,1
economy post covid,1
economy post pandemic and the deficit,1
economy reboot post-covid,1
economy rebound,1
economy recorvery,1
economy recovering from covid,1
economy recovery and sustainability of economy,1
economy recovery from covid 19,1
economy recovery from covid and more breaks for low to middle income people,1
economy recovery from covid-19,1
economy recovery post-pandemic,1
economy rejuvination post covid,1
economy stability through and after the pandemic,1
economy to get back to a satisfactory level even if not same or better than pre-covid,1
economy!!!,1
"economy,  energy and french language rights",1
"economy, affordability",1
"economy, debt, employment, industrial growth",1
"economy, deficit wasteful spending",1
"economy, everything is getting so much more expensive, however, my pay is remaining the same. perhaps, reduce the taxes or something else that could help us.",1
"economy, housing, covid",1
"economy, inflation",1
"economy, jobs",1
"economy, jobs and the ability for government to afford its obligations without severe inflation",1
"economy, leadership",1
"economy, pandemic and fairness to seniors",1
"economy, personal freedoms and rights as quaranteed under the constitution",1
"economy, taxes",1
"economy, taxes and immigration",1
"economy,health care",1
economy-truth-honesty-transparency,1
economy.,1
economy/ our debt,1
economy/being able to work,1
economy/economic recovery,1
economy/inflation,1
economy/taxes,1
econonomy,1
educ,1
education and affordability,1
education and covid 19 response,1
education and health,1
education and healthcare,1
education and human rights issues,1
education costs,1
education costs and social services,1
education debt,1
education for children and universities,1
education for the kids,1
education need to be more expensive.,1
education resources,1
education special needs funding,1
education system is still poor,1
"education system, more funds to help in the classroom",1
educational matters,1
eeconomy,1
effective policies to control and eliminate covid-19,1
efficiency of government,1
efforts of reconciliation for indigenous communities,1
efforts to reduce emissions of carbon gases and global warming,1
egocentricite,1
egualite,1
ei,1
either raising our money or get things to quit going up so much as it makes it hard to eat good,1
elderly care,1
elderly people,1
"elect a pm who *knows* how to govern, not just for a chosen few! trudeau has to go.",1
electing a government i trust,1
electing a government that has the best interests of all canadians as its core values and is not answerable to lobbyists and supporters with vested interests in communist china,1
electing a government that isn't conservative,1
"electing a government that will reject any tendency to embrace the apparent trend towards ""populism"" that we are seeing it in other western democracies!",1
electing a leader with integrity,1
electing a party with a majority so that the country can obtain stability,1
"electing a progressive government that will move us forward to deal with climate change, income disparity, and ensuring all citizens receive timely and immediate health care-  especially our indigenous population.",1
electing a responsible government.,1
electing an ethical leader,1
electing an honest representative as prime minister,1
electing pm seperate from party choice,1
electing someone i can trust with canada's financials,1
electing someone non-fanatical,1
electing someone that doesn't take canada back to the dark ages.,1
electing someone who will represent my core beliefs for the country,1
election,1
election in unnecessary,1
election inutile  (trop de dépenses),1
election inutile le gouvernement meme minoritaire fonctionnait bien,1
election promise not accomplished,1
election promises not kept,1
election reform and equalization revision.,1
election reform to properly balance the seats by population,1
election reform. the environment.,1
election should be good,1
election system,1
election system is not fair in terms of representation,1
elections are very important and the stability of the country depends on the candidate chosen,1
elections dag,1
electoral reform (getting rid of first-past-the-post and replacing it with proportional representation),1
electoral reform -- eliminating first-past-the-post,1
electoral reform / (and recently the growing deficit),1
electoral reform / proportional representation,1
electoral reform away from first past the post,1
electoral system reform,1
eliminate covid restrictions,1
eliminate trudeau,1
eliminating covid,1
eliminating fossil fuel sector to stop climate change,1
eliminating poverty and homelessness/universal basic income,1
eliminating the deficit,1
eliminating the vaccine passport,1
eliminer la dette,1
elire des responsable qui puisse prendre des décisions majeures,1
elire un premier ministre à l'écoute de la population et capable de venir à bout de cette covid,1
elle n’aurait pas dû avoir lieu. tout ça pour l’égo de justin trudeau,1
emerging from covid with a robust economy,1
emerging strongly from covid,1
empiètements des juridictions provinciales,1
emploi - pénurie de main d'oeuvre,1
emploi - réseau de la la santé -crise du logement -,1
emploi et main d'oeuvre,1
emploi et économie,1
"emploi, pénurie de main-d’oeuvre",1
emploie,1
emplois,1
employee wages,1
employment for canadians. getting people back to work.,1
employment for my adult children,1
employment for people,1
employment for the youth,1
employment for youth and homelessness,1
employment oil and gas industry,1
employment rate,1
"employment, housing",1
empêcher la droite conservatrice de prendre le pouvoir,1
empêcher les conservateurs de prendre le pouvoir envue d’appliquer des idées économiques et sociales dépassées...,1
empêcher trudeau de devenir majoritaire.,1
empêcher un gouvernement conservateur majoritaire,1
emvironnement,1
en finir avec la covid et toutes les mesures s'y rattachant,1
en finir avec la pandémie,1
en finir avec la pcre qui tue l'économie,1
en finir avec le covid!,1
en finir de la pandémie,1
en lever la pcre,1
encouraging investment in canada to get business productive and vibrant,1
encroachment on our rights and freedoms,1
end all vaccine passport mandates as well as all other covid related mandates.,1
end medical tyranny,1
end of mass immigration,1
end the turdeau dictatorship,1
endettement gouvernemental et mauvaise gestion des aides aux particuliers,1
endettement inflation,1
endiing covid restrictions,1
ending all covid mandates,1
ending covid,1
ending covid 19,1
ending covid lockdowns.,1
ending covid restrictions,1
ending covid-19,1
ending destructive progressive policies,1
"ending government tyranny and the ""new world order"" cloaked as covid",1
ending lockdowns,1
ending medical apartheid,1
ending of covid vaccination and passports,1
ending the pandemic.,1
ending this health crises asap,1
endless unnecessary covid lock down,1
energie verte,1
energy and environmental policy,1
energy policy,1
enfant,1
enfants,1
enforcement of vaccines- attack on liberty,1
english language rights in quebec,1
english rights in quebec,1
english speaking rights in qc,1
enironnement,1
enjeux climatiques,1
enjeux economiques,1
enjeux sociaux,1
enlever la pcu,1
enlever la.pcu,1
enlever le pouvoir aux liberaux,1
enlever trudeau de là,1
enrivonnement,1
"ensuring every canadian is accounted for, not only the wealthy.",1
ensuring less money goes outside our country when the whole country is in such dire straits,1
"ensuring peace of mind for all canadians, that there are adequate health care services provided, and adequate funding/resources for businesses.",1
ensuring support for all canadians by asking rich to pay their fair share,1
"ensuring that student debts are covered and there are an increase in benefits for low-income families, meaning ill support whatever party promises these things",1
ensuring that there are no vaccine passports,1
ensuring that there is a change from liberal to conservative,1
ensuring the conservatives do not get back into power.,1
"entretenir nos infrastructures ex pont québec, viaduc, école hôpitaux route etc…",1
envionnement,1
enviromental issues,1
enviromment,1
"environement, réchauffement climatique",1
environemtn,1
environme nt,1
environment & climate change,1
"environment & energy, along with a gov't that gives a shit about people outside quebec & ontario",1
environment - global warming,1
"environment - plastics, carbon emissions, logging",1
environment and covid,1
environment and government intrusion,1
environment and over population,1
environment and pandemic,1
environment and seniors,1
environment change,1
environment or climate change,1
environment protection,1
"environment, pandemic, health care",1
environment/ climate,1
environment/climate crisis. it's an emergency and needs to be addressed this very second before it gets worse.,1
environment/ctmatechange,1
environmental action,1
environmental and rent control,1
environmental change,1
environmental concerns,1
"environmental concerns, which affect every other issue now and in the future",1
environmental crisis,1
environmental degradation,1
environmental impact,1
environmental issues & housing crisis,1
environmental issues / global warming,1
environmental issues and concerns,1
"environmental issues, climate emergency,",1
environmental policies,1
environmental policies and the housing crisis,1
environmental protection and climate change,1
"environmental, lgbtq",1
environmentalism,1
environmentally friendly energy,1
environnement  (réchauffement climatique),1
environnement (climat),1
"environnement , santé",1
environnement changements climatiques,1
environnement climate,1
environnement déficit,1
environnement et aide medical a mourir,1
environnement et champs de compétence du québec,1
environnement et covid,1
environnement et covid19,1
environnement et finances publiques,1
environnement et gestion de la pandémie,1
environnement et la crise sanitaire,1
environnement et pandémie,1
environnement et protection du français,1
environnement et respect des juridictions provinciales,1
environnement et sortie de pandémie,1
environnement et économie verte,1
environnement ogm etc,1
environnement sain pour toutes et tous,1
environnement santé,1
environnement économie,1
"environnement, droit des personnes",1
"environnement, dépensé gouvernemental, candidat qui réponds aux besoins de québécois",1
"environnement, immigration, le francais",1
"environnement, pollution, réglementation",1
"environnement, santé, éducation, familles",1
environnement/ covid,1
environnement/climat,1
environnemnent,1
environnemwnt,1
environnment personne ainée sante,1
envirronnement,1
envoronment,1
envoronment/global warming,1
envoronnement,1
"envoyer un message clair que nous n'acceptons plus d'être opprimés, insultés et dégradés par le roc.",1
envrionnement,1
equa;ity,1
equal and fair representation,1
equal pay for woman,1
equal representation,1
"equal rights, housing issues",1
equality and economy,1
equality and fair tax practices,1
equality and fairness and budgeting issues,1
equality and faur treatment of all candains,1
equality and not having all of canadas money sent elsewhere. there are people here who need help,1
equality and police brutality.,1
equality and truthfullness,1
"equality for all . restitution for native canadians, no discrimination when charging non whites, pay rate a equal for women and men , etc.",1
equality for all seniors not just 75 years and,1
"equality in race, gender, religion & politics.  we can’t have an opinion anymore without someone being offended.",1
equality payments,1
"equality, climate change, jobs",1
"equality, not going the communist route",1
"equality, vaccine mandates",1
equality/ equity,1
equality/fairness for all,1
equalization pymts,1
equall opportunity,1
equally amongst all different cultures,1
"equilibre bugetaire,",1
equitable representation,1
equity and equality,1
equity and safety for all,1
equity to minorities,1
equity... all of us being treated well.,1
eradicating covid,1
eradicating covid-19 and ensuring the safety of all canadians,1
eradicating/controlling spread of covid 19,1
eradiquer la pandémie,1
erosion of human rights,1
est ce que le partie liberal va avoir la majorité des votes.,1
etablissement de santé,1
ethicacy in government,1
ethical behavior of all government officials - elected or otherwise,1
ethical behaviour of the incoming party.,1
ethical fiscal responsibility but our leaders for the benefit of all canadians,1
ethical leadership,1
ethics & honesty,1
ethics and accounability,1
ethics and accountability of politiccians,1
ethics and competence,1
ethics and morality,1
ethics and transparency,1
ethics and transparency in leadership,1
ethics and trust of our leaders,1
ethics in our leaders. being truthful when making promises and following through,1
ethics of party and leadership,1
ethics of the parties,1
ethics violations,1
"ethics, transparency, keeps election promises, assistance and services for ptsd veyerans and pay for all of their medications for the rest of their lives.",1
ethics/honesty,1
etre majoritaire,1
euthenasia,1
ev incentives,1
evaluation de la performance du présent gouvernement,1
everthing,1
every issue.  living in poverty really sucks,1
every one vaccination,1
everybody get vaccinated,1
everyone voting,1
everything and change,1
everything is fair and equal,1
everything to do with seniors and covid,1
"everything, climate change, health care, economy, social issues, housing, resource extraction",1
evironment,1
evironmental issues and public health,1
excess spending,1
excessive government intervention in the economy that leads to lowered standards of living for canadians,1
excessive immigration,1
excessive spending,1
excessive spending of taxpayer dollars,1
excessive unnecessary spending and wastage of public funds,1
excuses sincères au autochtones,1
expanding universal health care,1
expensive housing,1
explicit steps to address climate change,1
expressing detestation for the present mps,1
extended health care/ pharmacare,1
extending the emergency employment insurance.,1
"extra financial assistance for persons on disability allowances like aish, etc",1
extra taxes paid from canadians,1
f,1
fack liberals,1
factors affecting post secondary,1
fail trudeau,1
failure of the healthcare system,1
fair and equal representation,1
fair and open government for all parts of canada.,1
fair dealing,1
fair distribution of covid19 benefits.,1
fair election and no false advertisement,1
fair income,1
fair living wage,1
fair representaion,1
fair representation,1
fair representation over all of canada and not just an eastern driven majority,1
"fair standard of living for everyone, and not just people who can afford it, or are white",1
fair taxation based on income and wealth.,1
fair taxation of the ultra rich,1
fair taxes leading to taxing the rich so the burden isn't on the diminishing middle class.,1
fair treatment all provinces to get better economy and jobs,1
fair treatment and respect of all provinces,1
fair treatment for all canadians. then covid-19,1
fair treatment for all residents in the country.,1
"fair treatment of all canadians, not special treatment for the friends of the liberal party and trudeau",1
fair universal health care,1
fair wages,1
fair wages  affordable housing,1
"fair, honest election result, no cheating.",1
faire disparaître justin trudeau,1
faire disparaître trudeau,1
faire débarquer m trudeau,1
faire participer le plus de gens,1
faire sortir les libéraux,1
faire tomber les mesures sanitaires et revenir comme la vie avant le virus chinois,1
faire vacciner  tout le monde et le rendre obligatoires,1
fairly important as we need a new breath of life for our country's economy and stand up for our country,1
fairness across all income groups,1
fairness and the people,1
fairness for the west,1
fairness for the western part of the country - it can't just be run by ontario & quebec,1
fairness in all areas,1
fairness in electorate voting across the country,1
fairness to all canadians,1
fairness to all peoples and less divisions of special interest groups,1
"fairness to the majority, less minority pandering for votes",1
faite de dernière minute,1
fake,1
fake information,1
fake news and western seperation,1
false promises,1
famille/écologie,1
familles,1
family and child care,1
family benefits,1
family support,1
fare taxation,1
fathers rights,1
faut absolument se débarrasser de justin trudeau!,1
fear of primary residence sales tax,1
federal & provincial debt,1
federal & provincial leaders enacting laws in a dictatorship style of leadership,1
federal budget and the national debt/deficit,1
federal budget handling,1
"federal budget, giving all our money away",1
"federal budget, how it is spent and disbursed within the country",1
federal budjet,1
federal debt and to restore our country back to normal,1
"federal debt, corruption, ethics",1
federal deficit.,1
federal disability reform,1
federal election,1
federal equalization payments,1
federal funding for childcare,1
federal government accountability / corruption,1
federal government debt,1
federal government deficit,1
federal healthcare coverage plan,1
