FED,Province_Territory,All_Households,Under_5000,5000_9999,10000_14999,15000_19999,20000_24999,25000_29999,30000_39999,40000_and_over,Avg_Income,Median_Income,SE_Avg_Income
North Vancouver-Burnaby,British Columbia,30515,1240,3130,2800,3560,4675,3500,6125,7225,33841,29053,253
Okanagan North (Nord),British Columbia,43935,3130,7515,6230,5260,5670,4470,5845,5845,22920,18983,187
Okanagan-Similkameen,British Columbia,35315,2350,6460,5260,4505,4325,3785,3785,5845,19843,18983,198
Prince George-Bulkley Valley,British Columbia,29675,1895,2525,2500,2525,4090,3785,5800,5800,21840,18983,215
Prince George-Peace River,British Columbia,25540,1960,2285,2380,2220,3215,3205,4715,5560,27804,25949,248
Richmond-South Delta (Sud),British Columbia,42825,1645,3235,3045,3830,4655,4050,9210,12005,32315,29875,224
Skeena,British Columbia,22700,1255,1665,1860,2100,3020,3870,4715,5125,28355,27379,250
Surrey-White Rock-North Delta (Nord),British Columbia,45860,2560,4890,4335,4415,5515,5835,9215,9090,27941,26057,200
Vancouver Centre,British Columbia,51310,5085,9410,9465,8000,5060,4820,4220,4220,15888,15888,190
Vancouver East (Est),British Columbia,43200,3025,5525,5725,6075,5610,5110,6110,5850,21741,19843,226
Vancouver Kingsway,British Columbia,46890,3025,5525,5725,5610,5610,5110,6110,7000,21741,19843,253
Vancouver Quadra,British Columbia,37255,2800,5515,5250,4505,3910,5500,6185,5845,21839,18983,187
Vancouver South,British Columbia,46325,3025,5185,4035,3475,5360,3785,5845,9750,27379,21840,190
Victoria,British Columbia,41110,3295,4920,5195,4555,4120,4180,6870,7000,23595,21512,215
Yukon,Yukon,7585,535,625,660,760,755,790,1385,2090,29807,27718,231
Northwest Territories - Territoires du Nord-Ouest,Northwest Territories,11530,985,1265,1170,1305,1310,1225,1970,2305,26359,23884,
Nunatsiaq,Nunavut,3440,350,530,500,465,400,325,415,460,21771,18520,
Western Arctic,Northwest Territories,8090,635,740,670,835,905,675,1560,1850,28313,26447,
